path,file_name,class
./Audio_Dataset/kick/Bass Sample 40.wav,Bass Sample 40.wav,kick
./Audio_Dataset/kick/Bass Sample 8.wav,Bass Sample 8.wav,kick
./Audio_Dataset/kick/Bass Sample 23.wav,Bass Sample 23.wav,kick
./Audio_Dataset/kick/Bass Sample 37.wav,Bass Sample 37.wav,kick
./Audio_Dataset/kick/Bass Sample 36.wav,Bass Sample 36.wav,kick
./Audio_Dataset/kick/Bass Sample 22.wav,Bass Sample 22.wav,kick
./Audio_Dataset/kick/Bass Sample 9.wav,Bass Sample 9.wav,kick
./Audio_Dataset/kick/Bass Sample 34.wav,Bass Sample 34.wav,kick
./Audio_Dataset/kick/Bass Sample 20.wav,Bass Sample 20.wav,kick
./Audio_Dataset/kick/Bass Sample 21.wav,Bass Sample 21.wav,kick
./Audio_Dataset/kick/Bass Sample 35.wav,Bass Sample 35.wav,kick
./Audio_Dataset/kick/Bass Sample 19.wav,Bass Sample 19.wav,kick
./Audio_Dataset/kick/Bass Sample 31.wav,Bass Sample 31.wav,kick
./Audio_Dataset/kick/Bass Sample 25.wav,Bass Sample 25.wav,kick
./Audio_Dataset/kick/Bass Sample 24.wav,Bass Sample 24.wav,kick
./Audio_Dataset/kick/Bass Sample 30.wav,Bass Sample 30.wav,kick
./Audio_Dataset/kick/Bass Sample 18.wav,Bass Sample 18.wav,kick
./Audio_Dataset/kick/Bass Sample 26.wav,Bass Sample 26.wav,kick
./Audio_Dataset/kick/Bass Sample 32.wav,Bass Sample 32.wav,kick
./Audio_Dataset/kick/Bass Sample 33.wav,Bass Sample 33.wav,kick
./Audio_Dataset/kick/Bass Sample 27.wav,Bass Sample 27.wav,kick
./Audio_Dataset/kick/Bass Sample 1.wav,Bass Sample 1.wav,kick
./Audio_Dataset/kick/Bass Sample 16.wav,Bass Sample 16.wav,kick
./Audio_Dataset/kick/Bass Sample 17.wav,Bass Sample 17.wav,kick
./Audio_Dataset/kick/Bass Sample 2.wav,Bass Sample 2.wav,kick
./Audio_Dataset/kick/Bass Sample 15.wav,Bass Sample 15.wav,kick
./Audio_Dataset/kick/Bass Sample 29.wav,Bass Sample 29.wav,kick
./Audio_Dataset/kick/Bass Sample 28.wav,Bass Sample 28.wav,kick
./Audio_Dataset/kick/Bass Sample 14.wav,Bass Sample 14.wav,kick
./Audio_Dataset/kick/Bass Sample 3.wav,Bass Sample 3.wav,kick
./Audio_Dataset/kick/Bass Sample 7.wav,Bass Sample 7.wav,kick
./Audio_Dataset/kick/Bass Sample 38.wav,Bass Sample 38.wav,kick
./Audio_Dataset/kick/Bass Sample 10.wav,Bass Sample 10.wav,kick
./Audio_Dataset/kick/Bass Sample 11.wav,Bass Sample 11.wav,kick
./Audio_Dataset/kick/Bass Sample 39.wav,Bass Sample 39.wav,kick
./Audio_Dataset/kick/Bass Sample 6.wav,Bass Sample 6.wav,kick
./Audio_Dataset/kick/Bass Sample 4.wav,Bass Sample 4.wav,kick
./Audio_Dataset/kick/Bass Sample 13.wav,Bass Sample 13.wav,kick
./Audio_Dataset/kick/Bass Sample 12.wav,Bass Sample 12.wav,kick
./Audio_Dataset/kick/Bass Sample 5.wav,Bass Sample 5.wav,kick
./Audio_Dataset/snare/Snare Sample 5.wav,Snare Sample 5.wav,snare
./Audio_Dataset/snare/Snare Sample 39.wav,Snare Sample 39.wav,snare
./Audio_Dataset/snare/Snare Sample 11.wav,Snare Sample 11.wav,snare
./Audio_Dataset/snare/Snare Sample 10.wav,Snare Sample 10.wav,snare
./Audio_Dataset/snare/Snare Sample 38.wav,Snare Sample 38.wav,snare
./Audio_Dataset/snare/Snare Sample 4.wav,Snare Sample 4.wav,snare
./Audio_Dataset/snare/Snare Sample 6.wav,Snare Sample 6.wav,snare
./Audio_Dataset/snare/Snare Sample 12.wav,Snare Sample 12.wav,snare
./Audio_Dataset/snare/Snare Sample 13.wav,Snare Sample 13.wav,snare
./Audio_Dataset/snare/Snare Sample 7.wav,Snare Sample 7.wav,snare
./Audio_Dataset/snare/Snare Sample 3.wav,Snare Sample 3.wav,snare
./Audio_Dataset/snare/Snare Sample 17.wav,Snare Sample 17.wav,snare
./Audio_Dataset/snare/Snare Sample 16.wav,Snare Sample 16.wav,snare
./Audio_Dataset/snare/Snare Sample 2.wav,Snare Sample 2.wav,snare
./Audio_Dataset/snare/Snare Sample 14.wav,Snare Sample 14.wav,snare
./Audio_Dataset/snare/Snare Sample 28.wav,Snare Sample 28.wav,snare
./Audio_Dataset/snare/Snare Sample 29.wav,Snare Sample 29.wav,snare
./Audio_Dataset/snare/Snare Sample 15.wav,Snare Sample 15.wav,snare
./Audio_Dataset/snare/Snare Sample 1.wav,Snare Sample 1.wav,snare
./Audio_Dataset/snare/Snare Sample 18.wav,Snare Sample 18.wav,snare
./Audio_Dataset/snare/Snare Sample 30.wav,Snare Sample 30.wav,snare
./Audio_Dataset/snare/Snare Sample 24.wav,Snare Sample 24.wav,snare
./Audio_Dataset/snare/Snare Sample 25.wav,Snare Sample 25.wav,snare
./Audio_Dataset/snare/Snare Sample 31.wav,Snare Sample 31.wav,snare
./Audio_Dataset/snare/Snare Sample 19.wav,Snare Sample 19.wav,snare
./Audio_Dataset/snare/Snare Sample 27.wav,Snare Sample 27.wav,snare
./Audio_Dataset/snare/Snare Sample 33.wav,Snare Sample 33.wav,snare
./Audio_Dataset/snare/Snare Sample 32.wav,Snare Sample 32.wav,snare
./Audio_Dataset/snare/Snare Sample 26.wav,Snare Sample 26.wav,snare
./Audio_Dataset/snare/Snare Sample 22.wav,Snare Sample 22.wav,snare
./Audio_Dataset/snare/Snare Sample 36.wav,Snare Sample 36.wav,snare
./Audio_Dataset/snare/Snare Sample 37.wav,Snare Sample 37.wav,snare
./Audio_Dataset/snare/Snare Sample 23.wav,Snare Sample 23.wav,snare
./Audio_Dataset/snare/Snare Sample 9.wav,Snare Sample 9.wav,snare
./Audio_Dataset/snare/Snare Sample 35.wav,Snare Sample 35.wav,snare
./Audio_Dataset/snare/Snare Sample 21.wav,Snare Sample 21.wav,snare
./Audio_Dataset/snare/Snare Sample 20.wav,Snare Sample 20.wav,snare
./Audio_Dataset/snare/Snare Sample 34.wav,Snare Sample 34.wav,snare
./Audio_Dataset/snare/Snare Sample 8.wav,Snare Sample 8.wav,snare
./Audio_Dataset/snare/Snare Sample 40.wav,Snare Sample 40.wav,snare
./Audio_Dataset/overheads/Overhead Sample 16.wav,Overhead Sample 16.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 17.wav,Overhead Sample 17.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 29.wav,Overhead Sample 29.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 15.wav,Overhead Sample 15.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 14.wav,Overhead Sample 14.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 28.wav,Overhead Sample 28.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 10.wav,Overhead Sample 10.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 38.wav,Overhead Sample 38.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 39.wav,Overhead Sample 39.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 11.wav,Overhead Sample 11.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 8.wav,Overhead Sample 8.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 13.wav,Overhead Sample 13.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 12.wav,Overhead Sample 12.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 9.wav,Overhead Sample 9.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 40.wav,Overhead Sample 40.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 4.wav,Overhead Sample 4.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 23.wav,Overhead Sample 23.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 37.wav,Overhead Sample 37.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 36.wav,Overhead Sample 36.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 22.wav,Overhead Sample 22.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 5.wav,Overhead Sample 5.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 7.wav,Overhead Sample 7.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 34.wav,Overhead Sample 34.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 20.wav,Overhead Sample 20.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 21.wav,Overhead Sample 21.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 35.wav,Overhead Sample 35.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 6.wav,Overhead Sample 6.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 2.wav,Overhead Sample 2.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 31.wav,Overhead Sample 31.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 25.wav,Overhead Sample 25.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 19.wav,Overhead Sample 19.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 18.wav,Overhead Sample 18.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 24.wav,Overhead Sample 24.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 30.wav,Overhead Sample 30.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 3.wav,Overhead Sample 3.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 1.wav,Overhead Sample 1.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 26.wav,Overhead Sample 26.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 32.wav,Overhead Sample 32.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 33.wav,Overhead Sample 33.wav,overheads
./Audio_Dataset/overheads/Overhead Sample 27.wav,Overhead Sample 27.wav,overheads
./Audio_Dataset/toms/Tom Sample 40.wav,Tom Sample 40.wav,toms
./Audio_Dataset/toms/Tom Sample 36.wav,Tom Sample 36.wav,toms
./Audio_Dataset/toms/Tom Sample 22.wav,Tom Sample 22.wav,toms
./Audio_Dataset/toms/Tom Sample 9.wav,Tom Sample 9.wav,toms
./Audio_Dataset/toms/Tom Sample 8.wav,Tom Sample 8.wav,toms
./Audio_Dataset/toms/Tom Sample 23.wav,Tom Sample 23.wav,toms
./Audio_Dataset/toms/Tom Sample 37.wav,Tom Sample 37.wav,toms
./Audio_Dataset/toms/Tom Sample 21.wav,Tom Sample 21.wav,toms
./Audio_Dataset/toms/Tom Sample 35.wav,Tom Sample 35.wav,toms
./Audio_Dataset/toms/Tom Sample 34.wav,Tom Sample 34.wav,toms
./Audio_Dataset/toms/Tom Sample 20.wav,Tom Sample 20.wav,toms
./Audio_Dataset/toms/Tom Sample 24.wav,Tom Sample 24.wav,toms
./Audio_Dataset/toms/Tom Sample 30.wav,Tom Sample 30.wav,toms
./Audio_Dataset/toms/Tom Sample 18.wav,Tom Sample 18.wav,toms
./Audio_Dataset/toms/Tom Sample 19.wav,Tom Sample 19.wav,toms
./Audio_Dataset/toms/Tom Sample 31.wav,Tom Sample 31.wav,toms
./Audio_Dataset/toms/Tom Sample 25.wav,Tom Sample 25.wav,toms
./Audio_Dataset/toms/Tom Sample 33.wav,Tom Sample 33.wav,toms
./Audio_Dataset/toms/Tom Sample 27.wav,Tom Sample 27.wav,toms
./Audio_Dataset/toms/Tom Sample 26.wav,Tom Sample 26.wav,toms
./Audio_Dataset/toms/Tom Sample 32.wav,Tom Sample 32.wav,toms
./Audio_Dataset/toms/Tom Sample 17.wav,Tom Sample 17.wav,toms
./Audio_Dataset/toms/Tom Sample 1.wav,Tom Sample 1.wav,toms
./Audio_Dataset/toms/Tom Sample 16.wav,Tom Sample 16.wav,toms
./Audio_Dataset/toms/Tom Sample 28.wav,Tom Sample 28.wav,toms
./Audio_Dataset/toms/Tom Sample 14.wav,Tom Sample 14.wav,toms
./Audio_Dataset/toms/Tom Sample 3.wav,Tom Sample 3.wav,toms
./Audio_Dataset/toms/Tom Sample 2.wav,Tom Sample 2.wav,toms
./Audio_Dataset/toms/Tom Sample 15.wav,Tom Sample 15.wav,toms
./Audio_Dataset/toms/Tom Sample 29.wav,Tom Sample 29.wav,toms
./Audio_Dataset/toms/Tom Sample 11.wav,Tom Sample 11.wav,toms
./Audio_Dataset/toms/Tom Sample 39.wav,Tom Sample 39.wav,toms
./Audio_Dataset/toms/Tom Sample 6.wav,Tom Sample 6.wav,toms
./Audio_Dataset/toms/Tom Sample 7.wav,Tom Sample 7.wav,toms
./Audio_Dataset/toms/Tom Sample 38.wav,Tom Sample 38.wav,toms
./Audio_Dataset/toms/Tom Sample 10.wav,Tom Sample 10.wav,toms
./Audio_Dataset/toms/Tom Sample 12.wav,Tom Sample 12.wav,toms
./Audio_Dataset/toms/Tom Sample 5.wav,Tom Sample 5.wav,toms
./Audio_Dataset/toms/Tom Sample 4.wav,Tom Sample 4.wav,toms
./Audio_Dataset/toms/Tom Sample 13.wav,Tom Sample 13.wav,toms
